Game_Id,Home_Or_Away,Win_Or_Loss,Home_Team_Stats,Away_Team_Stats
2014020087,away,win,"{'teamSkaterStats': {'goals': 3, 'pim': 9, 'shots': 33, 'powerPlayPercentage': '40.0', 'powerPlayGoals': 2.0, 'powerPlayOpportunities': 5.0, 'faceOffWinPercentage': '50.0', 'blocked': 11, 'takeaways': 9, 'giveaways': 6, 'hits': 28}}","{'teamSkaterStats': {'goals': 4, 'pim': 15, 'shots': 36, 'powerPlayPercentage': '50.0', 'powerPlayGoals': 1.0, 'powerPlayOpportunities': 2.0, 'faceOffWinPercentage': '50.0', 'blocked': 9, 'takeaways': 11, 'giveaways': 2, 'hits': 14}}"
2014020115,away,win,"{'teamSkaterStats': {'goals': 2, 'pim': 4, 'shots': 41, 'powerPlayPercentage': '25.0', 'powerPlayGoals': 2.0, 'powerPlayOpportunities': 8.0, 'faceOffWinPercentage': '54.0', 'blocked': 9, 'takeaways': 5, 'giveaways': 5, 'hits': 31}}","{'teamSkaterStats': {'goals': 1, 'pim': 16, 'shots': 24, 'powerPlayPercentage': '0.0', 'powerPlayGoals': 0.0, 'powerPlayOpportunities': 2.0, 'faceOffWinPercentage': '46.0', 'blocked': 21, 'takeaways': 6, 'giveaways': 5, 'hits': 26}}"
2014020143,home,loss,"{'teamSkaterStats': {'goals': 2, 'pim': 17, 'shots': 26, 'powerPlayPercentage': '33.3', 'powerPlayGoals': 1.0, 'powerPlayOpportunities': 3.0, 'faceOffWinPercentage': '45.0', 'blocked': 8, 'takeaways': 6, 'giveaways': 2, 'hits': 23}}","{'teamSkaterStats': {'goals': 1, 'pim': 15, 'shots': 33, 'powerPlayPercentage': '25.0', 'powerPlayGoals': 1.0, 'powerPlayOpportunities': 4.0, 'faceOffWinPercentage': '55.0', 'blocked': 16, 'takeaways': 3, 'giveaways': 1, 'hits': 31}}"
2014020156,home,loss,"{'teamSkaterStats': {'goals': 2, 'pim': 14, 'shots': 30, 'powerPlayPercentage': '25.0', 'powerPlayGoals': 1.0, 'powerPlayOpportunities': 4.0, 'faceOffWinPercentage': '55.2', 'blocked': 12, 'takeaways': 3, 'giveaways': 0, 'hits': 26}}","{'teamSkaterStats': {'goals': 1, 'pim': 10, 'shots': 37, 'powerPlayPercentage': '0.0', 'powerPlayGoals': 0.0, 'powerPlayOpportunities': 6.0, 'faceOffWinPercentage': '44.8', 'blocked': 3, 'takeaways': 1, 'giveaways': 3, 'hits': 16}}"
2014020172,away,win,"{'teamSkaterStats': {'goals': 2, 'pim': 2, 'shots': 25, 'powerPlayPercentage': '0.0', 'powerPlayGoals': 0.0, 'powerPlayOpportunities': 0.0, 'faceOffWinPercentage': '61.5', 'blocked': 12, 'takeaways': 11, 'giveaways': 9, 'hits': 21}}","{'teamSkaterStats': {'goals': 1, 'pim': 0, 'shots': 19, 'powerPlayPercentage': '0.0', 'powerPlayGoals': 0.0, 'powerPlayOpportunities': 1.0, 'faceOffWinPercentage': '38.5', 'blocked': 12, 'takeaways': 8, 'giveaways': 7, 'hits': 27}}"
2014020188,away,win,"{'teamSkaterStats': {'goals': 4, 'pim': 12, 'shots': 30, 'powerPlayPercentage': '0.0', 'powerPlayGoals': 0.0, 'powerPlayOpportunities': 2.0, 'faceOffWinPercentage': '48.0', 'blocked': 18, 'takeaways': 3, 'giveaways': 6, 'hits': 35}}","{'teamSkaterStats': {'goals': 1, 'pim': 8, 'shots': 35, 'powerPlayPercentage': '25.0', 'powerPlayGoals': 1.0, 'powerPlayOpportunities': 4.0, 'faceOffWinPercentage': '52.0', 'blocked': 14, 'takeaways': 4, 'giveaways': 4, 'hits': 35}}"
2014020202,home,loss,"{'teamSkaterStats': {'goals': 4, 'pim': 6, 'shots': 31, 'powerPlayPercentage': '0.0', 'powerPlayGoals': 0.0, 'powerPlayOpportunities': 3.0, 'faceOffWinPercentage': '63.3', 'blocked': 7, 'takeaways': 4, 'giveaways': 3, 'hits': 30}}","{'teamSkaterStats': {'goals': 6, 'pim': 6, 'shots': 25, 'powerPlayPercentage': '33.3', 'powerPlayGoals': 1.0, 'powerPlayOpportunities': 3.0, 'faceOffWinPercentage': '36.7', 'blocked': 15, 'takeaways': 2, 'giveaways': 2, 'hits': 22}}"
2014020225,home,loss,"{'teamSkaterStats': {'goals': 4, 'pim': 4, 'shots': 30, 'powerPlayPercentage': '0.0', 'powerPlayGoals': 0.0, 'powerPlayOpportunities': 2.0, 'faceOffWinPercentage': '49.1', 'blocked': 17, 'takeaways': 4, 'giveaways': 4, 'hits': 30}}","{'teamSkaterStats': {'goals': 1, 'pim': 4, 'shots': 26, 'powerPlayPercentage': '0.0', 'powerPlayGoals': 0.0, 'powerPlayOpportunities': 2.0, 'faceOffWinPercentage': '50.9', 'blocked': 6, 'takeaways': 6, 'giveaways': 1, 'hits': 33}}"
2014020246,home,loss,"{'teamSkaterStats': {'goals': 3, 'pim': 6, 'shots': 38, 'powerPlayPercentage': '16.7', 'powerPlayGoals': 1.0, 'powerPlayOpportunities': 6.0, 'faceOffWinPercentage': '60.0', 'blocked': 23, 'takeaways': 4, 'giveaways': 6, 'hits': 26}}","{'teamSkaterStats': {'goals': 3, 'pim': 12, 'shots': 34, 'powerPlayPercentage': '0.0', 'powerPlayGoals': 0.0, 'powerPlayOpportunities': 3.0, 'faceOffWinPercentage': '40.0', 'blocked': 17, 'takeaways': 3, 'giveaways': 2, 'hits': 32}}"
2014020264,away,win,"{'teamSkaterStats': {'goals': 2, 'pim': 2, 'shots': 35, 'powerPlayPercentage': '0.0', 'powerPlayGoals': 0.0, 'powerPlayOpportunities': 2.0, 'faceOffWinPercentage': '58.3', 'blocked': 7, 'takeaways': 5, 'giveaways': 15, 'hits': 21}}","{'teamSkaterStats': {'goals': 6, 'pim': 4, 'shots': 29, 'powerPlayPercentage': '100.0', 'powerPlayGoals': 1.0, 'powerPlayOpportunities': 1.0, 'faceOffWinPercentage': '41.7', 'blocked': 21, 'takeaways': 6, 'giveaways': 9, 'hits': 18}}"
